nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;2.438;4.99;4.224;0.766;0.0;11;0.0;0.0;1.0
1500;2.156;3.934;3.184;0.75;0.0;11;0.0;0.0;1.0
1500;2.141;3.934;3.184;0.75;0.0;11;0.0;0.0;1.0
1500;2.236;3.484;2.719;0.765;0.0;11;0.0;0.0;1.0
1500;2.157;3.499;2.734;0.765;0.0;11;0.0;0.0;1.0
1500;2.373;3.484;2.734;0.75;0.0;11;0.0;0.0;1.0
1500;2.472;3.5;2.735;0.765;0.0;11;0.0;0.0;1.0
1500;2.235;3.486;2.737;0.749;0.0;11;0.0;0.0;1.0
1500;2.578;4.481;3.716;0.765;0.0;11;0.0;0.0;1.0
1500;2.484;4.657;3.908;0.749;0.0;11;0.0;0.0;1.0
1500;2.172;4.155;3.359;0.796;0.0;11;0.0;0.0;1.0
1500;2.344;3.954;3.188;0.766;0.0;11;0.0;0.0;1.0
1500;2.329;3.829;3.063;0.766;0.0;11;0.0;0.0;1.0
1500;2.297;3.7030000000000003;2.938;0.765;0.0;11;0.0;0.0;1.0
1500;2.39;3.499;2.734;0.765;0.0;11;0.0;0.0;1.0
1500;2.265;3.468;2.719;0.749;0.0;11;0.0;0.0;1.0
1500;2.766;3.481;2.731;0.75;0.0;11;0.0;0.0;1.0
1500;2.313;3.471;2.722;0.749;0.0;11;0.0;0.0;1.0
1500;2.356;3.498;2.734;0.764;0.0;11;0.0;0.0;1.0
1500;2.332;3.6550000000000002;2.89;0.765;0.0;11;0.0;0.0;1.0
1500;2.781;3.686;2.921;0.765;0.0;11;0.0;0.0;1.0
1500;2.251;3.5620000000000003;2.797;0.765;0.0;11;0.0;0.0;1.0
1500;2.313;3.702;2.89;0.812;0.0;11;0.0;0.0;1.0
1500;2.625;3.532;2.766;0.766;0.0;11;0.0;0.0;1.0
1500;2.281;3.6550000000000002;2.906;0.749;0.0;11;0.0;0.0;1.0
1500;2.36;3.489;2.735;0.754;0.0;11;0.0;0.0;1.0
1500;2.281;3.481;2.726;0.755;0.0;11;0.0;0.0;1.0
1500;2.422;3.5999999999999996;2.836;0.764;0.0;11;0.0;0.0;1.0
1500;2.36;3.5;2.719;0.781;0.0;11;0.0;0.0;1.0
1500;2.422;3.562;2.734;0.828;0.0;11;0.0;0.0;1.0
1500;2.266;3.505;2.75;0.755;0.0;11;0.0;0.0;1.0
1500;2.39;3.515;2.75;0.765;0.0;11;0.0;0.0;1.0
1500;2.327;3.515;2.75;0.765;0.0;11;0.0;0.0;1.0
1500;2.392;3.499;2.734;0.765;0.0;11;0.0;0.0;1.0
1500;2.672;3.484;2.734;0.75;0.0;11;0.0;0.0;1.0
1500;2.36;3.489;2.718;0.771;0.0;11;0.0;0.0;1.0
1500;2.391;3.7600000000000002;2.995;0.765;0.0;11;0.0;0.0;1.0
1500;2.328;3.499;2.733;0.766;0.0;11;0.0;0.0;1.0
1500;2.187;3.469;2.719;0.75;0.0;11;0.0;0.0;1.0
1500;2.312;3.495;2.719;0.776;0.0;11;0.0;0.0;1.0
1500;2.22;3.468;2.718;0.75;0.0;11;0.0;0.0;1.0
1500;2.378;3.53;2.78;0.75;0.0;11;0.0;0.0;1.0
1500;2.298;3.498;2.732;0.766;0.0;11;0.0;0.0;1.0
1500;2.23;3.46;2.721;0.739;0.0;11;0.0;0.0;1.0
1500;2.314;3.482;2.733;0.749;0.0;11;0.0;0.0;1.0
1500;2.533;3.814;3.048;0.766;0.0;11;0.0;0.0;1.0
1500;2.75;3.707;2.943;0.764;0.0;11;0.0;0.0;1.0
1500;2.297;3.589;2.839;0.75;0.0;11;0.0;0.0;1.0
1500;2.516;3.613;2.848;0.765;0.0;11;0.0;0.0;1.0
1500;1.171;3.736;2.986;0.75;0.0;11;0.0;0.0;1.0
1500;2.406;3.531;2.781;0.75;0.0;11;0.0;0.0;1.0
1500;2.25;3.486;2.72;0.766;0.0;11;0.0;0.0;1.0
1500;2.406;3.468;2.718;0.75;0.0;11;0.0;0.0;1.0
1500;2.282;3.625;2.859;0.766;0.0;11;0.0;0.0;1.0
1500;2.203;3.483;2.718;0.765;0.0;11;0.0;0.0;1.0
1500;2.187;3.484;2.718;0.766;0.0;11;0.0;0.0;1.0
1500;2.297;3.5469999999999997;2.703;0.844;0.0;11;0.0;0.0;1.0
1500;2.484;3.75;2.922;0.828;0.0;11;0.0;0.0;1.0
1500;2.171;3.6399999999999997;2.828;0.812;0.0;11;0.0;0.0;1.0
1500;2.236;3.5;2.719;0.781;0.0;11;0.0;0.0;1.0
1500;2.328;3.485;2.719;0.766;0.0;11;0.0;0.0;1.0
1500;2.297;3.485;2.719;0.766;0.0;11;0.0;0.0;1.0
1500;2.297;3.5180000000000002;2.749;0.769;0.0;11;0.0;0.0;1.0
1500;2.282;3.624;2.859;0.765;0.0;11;0.0;0.0;1.0
1500;2.437;3.547;2.797;0.75;0.0;11;0.0;0.0;1.0
1500;2.359;3.576;2.829;0.747;0.0;11;0.0;0.0;1.0
1500;2.72;3.5620000000000003;2.797;0.765;0.0;11;0.0;0.0;1.0
1500;2.344;3.485;2.703;0.782;0.0;11;0.0;0.0;1.0
1500;1.469;3.5;2.734;0.766;0.0;11;0.0;0.0;1.0
1500;2.58;3.5620000000000003;2.797;0.765;0.0;11;0.0;0.0;1.0
1500;2.297;3.797;3.016;0.781;0.0;11;0.0;0.0;1.0
1500;2.283;3.5180000000000002;2.736;0.782;0.0;11;0.0;0.0;1.0
1500;2.562;3.485;2.719;0.766;0.0;11;0.0;0.0;1.0
1500;2.359;3.484;2.719;0.75;0.015;11;0.0;0.0;1.0
1500;2.297;3.453;2.703;0.75;0.0;11;0.0;0.0;1.0
1500;2.547;3.546;2.796;0.75;0.0;11;0.0;0.0;1.0
1500;2.36;3.598;2.785;0.813;0.0;11;0.0;0.0;1.0
1500;2.297;3.5300000000000002;2.765;0.765;0.0;11;0.0;0.0;1.0
1500;2.313;3.534;2.766;0.768;0.0;11;0.0;0.0;1.0
1500;2.375;3.516;2.766;0.75;0.0;11;0.0;0.0;1.0
1500;2.281;3.515;2.765;0.75;0.0;11;0.0;0.0;1.0
1500;2.329;3.5300000000000002;2.765;0.765;0.0;11;0.0;0.0;1.0
1500;2.296;3.532;2.782;0.75;0.0;11;0.0;0.0;1.0
1500;2.36;3.594;2.844;0.75;0.0;11;0.0;0.0;1.0
1500;2.473;3.626;2.86;0.766;0.0;11;0.0;0.0;1.0
1500;2.484;4.346;3.579;0.767;0.0;11;0.0;0.0;1.0
1500;2.469;4.3759999999999994;3.61;0.766;0.0;11;0.0;0.0;1.0
1500;2.329;4.047000000000001;3.297;0.75;0.0;11;0.0;0.0;1.0
1500;2.594;4.079000000000001;3.329;0.75;0.0;11;0.0;0.0;1.0
1500;2.392;4.143;3.378;0.765;0.0;11;0.0;0.0;1.0
1500;2.344;4.218;3.467;0.751;0.0;11;0.0;0.0;1.0
1500;2.234;4.453;3.688;0.765;0.0;11;0.0;0.0;1.0
1500;2.312;5.047;4.281;0.766;0.0;11;0.0;0.0;1.0
1500;2.969;3.766;3.016;0.75;0.0;11;0.0;0.0;1.0
1500;2.297;3.5020000000000002;2.736;0.766;0.0;11;0.0;0.0;1.0
1500;2.236;3.452;2.703;0.749;0.0;11;0.0;0.0;1.0
1500;2.294;3.469;2.703;0.766;0.0;11;0.0;0.0;1.0
1500;2.377;3.472;2.719;0.753;0.0;11;0.0;0.0;1.0
1500;2.157;3.484;2.719;0.765;0.0;11;0.0;0.0;1.0
1500;2.203;3.499;2.749;0.75;0.0;11;0.0;0.0;1.0
