nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;12.782;5.24;4.224;1.016;0.0;13;0.0;0.0;1.0
1500;11.375;4.1209999999999996;3.184;0.922;0.015;13;0.0;0.0;1.0
1500;11.361;3.934;3.184;0.75;0.0;13;0.0;0.0;1.0
1500;11.533;3.485;2.719;0.75;0.016;13;0.0;0.0;1.0
1500;11.909;3.484;2.734;0.75;0.0;13;0.0;0.0;1.0
1500;12.65;3.484;2.734;0.75;0.0;13;0.0;0.0;1.0
1500;12.363;3.501;2.735;0.766;0.0;13;0.0;0.0;1.0
1500;12.287;3.5020000000000002;2.737;0.765;0.0;13;0.0;0.0;1.0
1500;14.55;4.482;3.716;0.75;0.016;13;0.0;0.0;1.0
1500;14.094;4.6739999999999995;3.908;0.766;0.0;13;0.0;0.0;1.0
1500;12.111;4.171;3.359;0.812;0.0;13;0.0;0.0;1.0
1500;12.612;4.001;3.188;0.813;0.0;13;0.0;0.0;1.0
1500;13.658;3.8750000000000004;3.063;0.797;0.015;13;0.0;0.0;1.0
1500;12.689;3.7510000000000003;2.938;0.813;0.0;13;0.0;0.0;1.0
1500;12.551;3.531;2.734;0.797;0.0;13;0.0;0.0;1.0
1500;12.689;3.516;2.719;0.797;0.0;13;0.0;0.0;1.0
1500;15.256;3.5749999999999997;2.731;0.829;0.015;13;0.0;0.0;1.0
1500;12.47;3.519;2.722;0.797;0.0;13;0.0;0.0;1.0
1500;12.877;3.531;2.734;0.781;0.016;13;0.0;0.0;1.0
1500;13.222;3.765;2.89;0.875;0.0;13;0.0;0.0;1.0
1500;16.644;3.9989999999999997;2.921;1.078;0.0;13;0.0;0.0;1.0
1500;13.285;3.829;2.797;1.016;0.016;13;0.0;0.0;1.0
1500;12.813;3.952;2.89;1.062;0.0;13;0.0;0.0;1.0
1500;15.017;3.75;2.766;0.984;0.0;13;0.0;0.0;1.0
1500;12.61;3.891;2.906;0.969;0.016;13;0.0;0.0;1.0
1500;13.486;3.6879999999999997;2.735;0.953;0.0;13;0.0;0.0;1.0
1500;12.41;3.742;2.726;1.0;0.016;13;0.0;0.0;1.0
1500;13.675;3.992;2.836;1.156;0.0;13;0.0;0.0;1.0
1500;12.892;3.6879999999999997;2.719;0.969;0.0;13;0.0;0.0;1.0
1500;13.709;3.609;2.734;0.875;0.0;13;0.0;0.0;1.0
1500;12.783;3.5;2.75;0.75;0.0;13;0.0;0.0;1.0
1500;13.142;3.515;2.75;0.75;0.015;13;0.0;0.0;1.0
1500;13.571;3.5;2.75;0.75;0.0;13;0.0;0.0;1.0
1500;13.3;3.484;2.734;0.75;0.0;13;0.0;0.0;1.0
1500;14.658;3.4859999999999998;2.734;0.736;0.016;13;0.0;0.0;1.0
1500;13.156;3.484;2.718;0.766;0.0;13;0.0;0.0;1.0
1500;13.642;3.745;2.995;0.75;0.0;13;0.0;0.0;1.0
1500;14.583;3.498;2.733;0.765;0.0;13;0.0;0.0;1.0
1500;13.126;3.548;2.719;0.829;0.0;13;0.0;0.0;1.0
1500;13.502;3.516;2.719;0.797;0.0;13;0.0;0.0;1.0
1500;12.565;3.5;2.718;0.782;0.0;13;0.0;0.0;1.0
1500;13.11;3.5759999999999996;2.78;0.796;0.0;13;0.0;0.0;1.0
1500;12.642;3.5290000000000004;2.732;0.797;0.0;13;0.0;0.0;1.0
1500;13.111;3.487;2.721;0.766;0.0;13;0.0;0.0;1.0
1500;13.312;3.531;2.733;0.798;0.0;13;0.0;0.0;1.0
1500;14.798;3.845;3.048;0.797;0.0;13;0.0;0.0;1.0
1500;14.912;3.755;2.943;0.812;0.0;13;0.0;0.0;1.0
1500;13.079;3.902;2.839;1.063;0.0;13;0.0;0.0;1.0
1500;14.628;3.8789999999999996;2.848;1.031;0.0;13;0.0;0.0;1.0
1500;5.768;4.033;2.986;1.047;0.0;13;0.0;0.0;1.0
1500;13.798;3.797;2.781;1.016;0.0;13;0.0;0.0;1.0
1500;13.267;3.72;2.72;1.0;0.0;13;0.0;0.0;1.0
1500;13.517;3.7489999999999997;2.718;1.031;0.0;13;0.0;0.0;1.0
1500;14.017;3.844;2.859;0.985;0.0;13;0.0;0.0;1.0
1500;13.74;3.7640000000000002;2.718;1.046;0.0;13;0.0;0.0;1.0
1500;12.985;3.6719999999999997;2.718;0.938;0.016;13;0.0;0.0;1.0
1500;13.204;3.6399999999999997;2.703;0.921;0.016;13;0.0;0.0;1.0
1500;13.391;3.672;2.922;0.75;0.0;13;0.0;0.0;1.0
1500;12.798;3.594;2.828;0.766;0.0;13;0.0;0.0;1.0
1500;12.97;3.469;2.719;0.75;0.0;13;0.0;0.0;1.0
1500;13.235;3.469;2.719;0.75;0.0;13;0.0;0.0;1.0
1500;13.221;3.468;2.719;0.749;0.0;13;0.0;0.0;1.0
1500;12.924;3.515;2.749;0.766;0.0;13;0.0;0.0;1.0
1500;12.748;3.625;2.859;0.766;0.0;13;0.0;0.0;1.0
1500;13.595;3.547;2.797;0.75;0.0;13;0.0;0.0;1.0
1500;13.591;3.595;2.829;0.766;0.0;13;0.0;0.0;1.0
1500;14.97;3.5620000000000003;2.797;0.765;0.0;13;0.0;0.0;1.0
1500;13.517;3.453;2.703;0.75;0.0;13;0.0;0.0;1.0
1500;7.766;3.5;2.734;0.766;0.0;13;0.0;0.0;1.0
1500;13.314;3.547;2.797;0.75;0.0;13;0.0;0.0;1.0
1500;13.486;3.766;3.016;0.75;0.0;13;0.0;0.0;1.0
1500;12.941;3.486;2.736;0.75;0.0;13;0.0;0.0;1.0
1500;14.05;3.485;2.719;0.766;0.0;13;0.0;0.0;1.0
1500;10.564;3.468;2.719;0.749;0.0;13;0.0;0.0;1.0
1500;10.846;3.4829999999999997;2.703;0.78;0.0;13;0.0;0.0;1.0
1500;10.814;3.7329999999999997;2.796;0.937;0.0;13;0.0;0.0;1.0
1500;10.767;3.632;2.785;0.847;0.0;13;0.0;0.0;1.0
1500;11.157;3.6870000000000003;2.765;0.906;0.016;13;0.0;0.0;1.0
1500;9.086;3.8600000000000003;2.766;1.094;0.0;13;0.0;0.0;1.0
1500;12.208;3.7969999999999997;2.766;1.031;0.0;13;0.0;0.0;1.0
1500;8.782;3.8120000000000003;2.765;1.047;0.0;13;0.0;0.0;1.0
1500;11.599;3.8280000000000003;2.765;1.063;0.0;13;0.0;0.0;1.0
1500;9.657;3.8;2.782;1.018;0.0;13;0.0;0.0;1.0
1500;10.988;3.875;2.844;1.031;0.0;13;0.0;0.0;1.0
1500;11.3;3.8729999999999998;2.86;0.997;0.016;13;0.0;0.0;1.0
1500;10.127;4.409;3.579;0.815;0.015;13;0.0;0.0;1.0
1500;13.063;4.359999999999999;3.61;0.75;0.0;13;0.0;0.0;1.0
1500;10.643;4.063000000000001;3.297;0.75;0.016;13;0.0;0.0;1.0
1500;12.704;4.079000000000001;3.329;0.75;0.0;13;0.0;0.0;1.0
1500;11.628;4.142;3.378;0.764;0.0;13;0.0;0.0;1.0
1500;10.032;4.2330000000000005;3.467;0.766;0.0;13;0.0;0.0;1.0
1500;11.641;4.532;3.688;0.844;0.0;13;0.0;0.0;1.0
1500;9.735;5.124;4.281;0.843;0.0;13;0.0;0.0;1.0
1500;13.883;3.875;3.016;0.859;0.0;13;0.0;0.0;1.0
1500;9.712;3.66;2.736;0.924;0.0;13;0.0;0.0;1.0
1500;12.063;3.593;2.703;0.89;0.0;13;0.0;0.0;1.0
1500;9.692;3.702;2.703;0.999;0.0;13;0.0;0.0;1.0
1500;12.438;3.734;2.719;1.0;0.015;13;0.0;0.0;1.0
1500;10.064;3.501;2.719;0.782;0.0;13;0.0;0.0;1.0
1500;13.396;3.515;2.749;0.766;0.0;13;0.0;0.0;1.0
