nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.031;0;0;0;0
50;0.031;0.016;0.016;0;0
100;0.047;0.023;0.008;0.015;0
100;0.047;0.022;0.022;0;0
150;0.078;0.031;0.031;0;0
150;0.078;0.047;0.031;0.016;0
200;0.094;0.047;0.047;0;0
200;0.109;0.093;0.062;0.031;0
250;0.109;0.11;0.094;0.016;0
250;0.141;0.078;0.062;0.016;0
300;0.156;0.156;0.125;0.031;0
300;0.188;0.093;0.078;0.015;0
350;0.219;0.25;0.203;0.047;0
350;0.203;0.157;0.141;0.016;0
400;0.125;0.345;0.266;0.079;0
400;0.204;0.186;0.171;0.015;0
450;0.187;0.422;0.344;0.078;0
450;0.203;0.235;0.219;0.016;0
500;0.234;0.328;0.297;0.031;0
500;0.218;0.5;0.406;0.094;0
550;0.25;0.313;0.282;0.031;0
550;0.281;0.53;0.421;0.109;0
600;0.281;0.421;0.374;0.047;0
600;0.219;0.766;0.625;0.141;0
650;0.343;0.516;0.485;0.031;0
650;0.344;0.875;0.687;0.188;0
700;0.172;0.593;0.546;0.047;0
700;0.312;1.015;0.828;0.187;0
750;0.375;0.923;0.86;0.063;0
750;0.344;1.139;0.921;0.218;0
800;0.375;0.813;0.75;0.063;0
800;0.375;1.359;1.109;0.25;0
850;0.423;1;0.922;0.078;0
850;0.359;1.563;1.25;0.313;0
900;0.391;1.031;0.953;0.078;0
900;0.421;1.687;1.375;0.312;0
950;0.453;1.094;1.016;0.078;0
950;0.453;1.874;1.515;0.359;0
1000;0.703;1.652;1.401;0.251;0
1000;0.485;1.808;1.37;0.438;0
1050;0.516;1.984;1.5;0.484;0
1100;0.468;2.246;1.761;0.485;0
1150;0.547;2.234;1.703;0.531;0
1200;0.594;2.421;1.859;0.562;0
1250;0.53;2.641;2.032;0.609;0
1300;0.594;3.749;3.062;0.687;0
1350;0.672;3.208;2.427;0.781;0
1400;0.625;3.32;2.461;0.859;0
1450;0.609;4.212;3.228;0.984;0
1500;0.657;4.245;3.214;1.031;0
1550;0.687;4.376;3.298;1.078;0
1600;0.687;4.954;3.844;1.11;0
1650;0.734;4.876;3.735;1.141;0
1700;0.734;5.168;3.918;1.25;0
1750;0.765;5.423;4.11;1.313;0
1800;0.815;5.813;4.391;1.422;0
1850;0.843;7.909;6.393;1.516;0
1900;0.843;10.158;8.658;1.5;0
1950;0.844;10.784;9.143;1.641;0
2000;0.891;11.274;9.508;1.766;0
2050;0.938;9.761;8.026;1.735;0
2100;0.969;10.739;8.896;1.843;0
2150;1.047;9.719;7.688;2.031;0
2200;0.968;13.396;11.27;2.126;0
2250;1.032;8.896;6.724;2.172;0
2300;1.142;10.329;8.015;2.314;0
2350;1.093;11.605;9.136;2.469;0
2400;1.032;12.789;10.273;2.516;0
2450;1.313;11.164;8.461;2.703;0
2500;1.141;13.469;10.625;2.844;0
2550;1.156;12.097;9.066;3.031;0
2600;1.187;13.388;10.258;3.13;0
2650;1.203;13.142;10.189;2.953;0
2700;1.297;12.985;9.767;3.218;0
2750;1.547;14.162;10.646;3.516;0
2800;1.594;14.376;10.672;3.704;0
2850;1.641;14.875;11.125;3.75;0
2900;1.672;15.039;11.273;3.766;0
2950;1.688;16.139;11.904;4.235;0
3000;1.735;16.642;12.329;4.313;0
3050;1.812;17.376;12.938;4.438;0
3100;1.703;17.814;13.157;4.657;0
3150;1.797;18.486;13.783;4.703;0
3200;1.828;18.165;13.321;4.844;0
3250;1.75;18.751;14.031;4.72;0
3300;1.843;19.709;14.626;5.083;0
3350;1.735;20.689;15.298;5.391;0
3400;1.922;21.101;15.867;5.234;0
3450;2.047;21.267;15.703;5.564;0
3500;2.172;25.83;20.236;5.594;0
3550;2.125;26.752;20.674;6.078;0
3600;2.437;27.972;21.423;6.549;0
3650;2.347;29.173;22.986;6.187;0
3700;2.391;29.817;23.377;6.44;0
3750;1.828;30.551;23.907;6.644;0
3800;1.766;30.898;24.054;6.844;0
3850;1.828;32.597;25.347;7.25;0
3900;1.844;33.315;26.111;7.204;0
3950;1.891;32.892;25.658;7.234;0
4000;1.875;34.986;27.392;7.594;0
4050;1.844;36.331;28.393;7.938;0
4100;2.062;35.503;27.596;7.907;0
4150;2;37.836;29.179;8.657;0
4200;1.968;38.55;30.128;8.422;0
4250;1.922;39.183;30.573;8.61;0
4300;2.063;40.284;31.236;9.048;0
4350;1.938;41.792;32.76;9.032;0
4400;2.047;42.699;33.683;9.016;0
4450;2.297;43.738;33.836;9.902;0
4500;2.11;44.175;34.581;9.594;0
4550;2.002;45.007;35.006;10.001;0
4600;2.141;46.255;36.067;10.188;0
4650;2.123;46.428;36.271;10.157;0
4700;2.297;49.144;38.363;10.781;0
4750;2.187;49.442;38.591;10.851;0
4800;2.312;51.171;39.842;11.329;0
4850;2.719;50.787;39.457;11.33;0
4900;2.485;52.594;41.218;11.376;0
4950;2.281;53.904;42.294;11.61;0
5000;2.395;52.676;39.627;13.049;0
5050;2.406;50.703;39.093;11.61;0
5100;2.407;50.751;40.094;10.657;0
5150;2.453;51.725;39.443;12.282;0
5200;2.562;48.598;37.925;10.673;0
5250;2.469;50.735;38.161;12.574;0
5300;2.422;49.878;38.784;11.094;0
5350;2.563;52.087;39.133;12.954;0
5400;2.578;51.424;40.002;11.422;0
5450;2.438;55.333;41.034;14.299;0
5500;2.61;54.466;41.067;13.399;0
5550;2.609;55.471;42.252;13.219;0
5600;2.703;58.474;43.723;14.751;0
5650;2.704;56.428;43.709;12.719;0
5700;2.423;59.318;44.942;14.376;0
5750;2.578;66.691;53.236;13.455;0
5800;2.765;72.145;57.551;14.594;0
5850;2.689;74.634;59.211;15.423;0
5900;2.828;72.926;58.519;14.407;0
5950;2.625;77.338;60.51;16.828;0
6000;2.875;77.29;62.459;14.831;0
