nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.08700000000000001;0.084;0.003;0.0;6;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.003;0.001;6;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09100000000000001;0.085;0.006;0.0;6;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.098;0.096;0.002;0.0;6;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;6;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.041;0.039;0.002;0.0;6;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.004;0.001;6;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.08;0.078;0.002;0.0;6;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;6;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.156;0.154;0.002;0.0;7;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;7;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.072;0.071;0.001;0.0;7;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08800000000000001;0.085;0.003;0.0;7;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.099;0.096;0.003;0.0;7;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;7;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;7;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.061;0.057;0.004;0.0;7;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.08;0.078;0.002;0.0;7;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;7;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.164;0.154;0.002;0.008;8;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;8;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.073;0.071;0.002;0.0;8;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08800000000000001;0.085;0.003;0.0;8;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.1;0.096;0.004;0.0;8;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.05;0.048;0.002;0.0;8;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;8;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.060000000000000005;0.057;0.002;0.001;8;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;8;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;8;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.157;0.154;0.003;0.0;9;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;9;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.076;0.071;0.005;0.0;9;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08800000000000001;0.085;0.003;0.0;9;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.099;0.096;0.003;0.0;9;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;9;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.044;0.039;0.005;0.0;9;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.060000000000000005;0.057;0.003;0.0;9;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.08;0.078;0.002;0.0;9;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.044000000000000004;0.042;0.002;0.0;9;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.156;0.154;0.002;0.0;10;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08600000000000001;0.084;0.002;0.0;10;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.003;0.001;10;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09000000000000001;0.085;0.004;0.001;10;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.098;0.096;0.002;0.0;10;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.05;0.048;0.002;0.0;10;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;10;-1;0;-1;0;1;2;1.245;200;250;-1;0;
