nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.344;0.018;0.003;0.015;0
100;0.422;0.093;0.077;0;0.016
150;0.343;0.056;0.041;0;0.015
200;0.935;0.085;0.069;0.016;0
250;1;0.07;0.07;0;0
300;1.036;0.181;0.15;0.031;0
350;1.297;0.236;0.204;0.016;0.016
400;1.297;0.302;0.255;0.047;0
450;1.715;0.346;0.299;0.031;0.016
500;1.974;0.643;0.424;0.219;0
550;1.92;0.616;0.46;0.156;0
600;1.188;0.733;0.529;0.204;0
650;2.185;0.986;0.768;0.218;0
700;2.363;0.933;0.691;0.242;0
750;3.078;1.015;0.765;0.25;0
800;5.558;1.094;0.844;0.25;0
850;6.009;1.235;0.969;0.266;0
900;3.343;1.39;1.093;0.297;0
950;3.487;1.532;1.219;0.313;0
1000;3.938;2.435;1.732;0.656;0.047
1100;3.703;2.602;1.946;0.656;0
1200;4.063;3.015;2.215;0.769;0.031
1300;4.373;3.308;2.389;0.888;0.031
1400;5.065;3.838;2.768;1.07;0
1500;4.814;4.209;3.209;1;0
1600;5.251;4.795;3.779;1.016;0
1700;5.985;5.492;4.336;1.156;0
1800;6.377;6.045;4.691;1.354;0
1900;8.1;6.636;5.229;1.407;0
2000;7.231;7.36;5.703;1.657;0
2100;7.188;8.312;6.374;1.938;0
2200;8.003;10.443;7.128;3.315;0
2300;8.223;9.651;7.716;1.935;0
2400;8.33;9.996;7.851;2.145;0
2500;8.924;10.727;8.289;2.422;0.016
2600;8.596;12.288;9.647;2.641;0
2700;9.267;14.377;10.58;3.781;0.016
2800;9.846;15.306;11.46;3.846;0
2900;10.393;16.743;13.617;3.126;0
3000;10.204;17.499;13.952;3.547;0
