nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.109;0;0;0;0
50;0.11;0.016;0.016;0;0
100;0.203;0.008;0.008;0;0
100;0.203;0.037;0.022;0.015;0
150;0.359;0.031;0.031;0;0
150;0.235;0.031;0.031;0;0
200;0.437;0.047;0.047;0;0
200;0.422;0.078;0.062;0.016;0
250;0.453;0.11;0.094;0.016;0
250;0.468;0.062;0.062;0;0
300;0.547;0.157;0.125;0.032;0
300;0.515;0.093;0.078;0.015;0
350;0.657;0.266;0.203;0.063;0
350;0.671;0.141;0.141;0;0
400;0.453;0.344;0.266;0.078;0
400;0.828;0.187;0.171;0.016;0
450;0.859;0.422;0.344;0.078;0
450;0.89;0.251;0.219;0.032;0
500;0.984;0.328;0.297;0.031;0
500;0.922;0.515;0.406;0.109;0
550;1.062;0.313;0.282;0.031;0
550;1.094;0.515;0.421;0.094;0
600;1.781;0.405;0.374;0.031;0
600;0.922;0.797;0.625;0.172;0
650;1.812;0.547;0.485;0.062;0
650;1.641;0.906;0.687;0.219;0
700;0.984;0.608;0.546;0.062;0
700;1.765;1.047;0.828;0.219;0
750;2.235;0.907;0.86;0.047;0
750;1.75;1.155;0.921;0.234;0
800;2.172;0.829;0.75;0.079;0
800;2.032;1.421;1.109;0.312;0
850;2.235;1;0.922;0.078;0
850;2.14;1.578;1.25;0.328;0
900;2.406;1.047;0.953;0.094;0
900;2.172;1.734;1.375;0.359;0
950;2.797;1.11;1.016;0.094;0
950;2.282;1.922;1.515;0.407;0
1000;2.564;1.503;1.401;0.102;0
1000;1.797;1.856;1.37;0.486;0
1050;1.938;1.937;1.5;0.437;0
1100;2.078;2.293;1.761;0.532;0
1150;2.36;2.296;1.703;0.593;0
1200;2.328;2.436;1.859;0.577;0
1250;2.359;2.657;2.032;0.625;0
1300;3.287;3.796;3.062;0.734;0
1350;3.187;3.301;2.427;0.874;0
1400;3.079;3.383;2.461;0.922;0
1450;2.454;4.181;3.228;0.953;0
1500;2.766;4.261;3.214;1.047;0
1550;2.703;4.423;3.298;1.125;0
1600;3.046;4.984;3.844;1.14;0
1650;4.027;4.954;3.735;1.219;0
1700;3.781;5.247;3.918;1.329;0
1750;3.39;5.501;4.11;1.391;0
1800;3.391;5.907;4.391;1.516;0
1850;4.297;8.049;6.393;1.656;0
1900;3.5;10.298;8.658;1.64;0
1950;3.579;10.893;9.143;1.75;0
2000;3.86;11.289;9.508;1.781;0
2050;3.929;9.932;8.026;1.906;0
