nodes;pipe 1;pipe 2;reduction;kernel;hs_st
2100;3.657;10.849;8.896;1.953;0
2150;4.078;9.829;7.688;2.141;0
2200;4.187;13.614;11.27;2.344;0
2250;4.594;9.162;6.724;2.438;0
2300;4.719;10.702;8.015;2.687;0
2350;4.343;11.683;9.136;2.547;0
2400;4.517;12.976;10.273;2.703;0
2450;5.173;11.212;8.461;2.751;0
2500;4.626;13.609;10.625;2.984;0
2550;4.83;12.113;9.066;3.047;0
2600;5;13.445;10.258;3.187;0
2650;4.882;13.386;10.189;3.197;0
2700;5.222;13.158;9.767;3.391;0
2750;5.188;14.224;10.646;3.578;0
2800;5.249;14.47;10.672;3.798;0
2850;5.251;14.922;11.125;3.797;0
2900;5.531;15.524;11.273;4.251;0
2950;5.486;16.671;11.904;4.767;0
3000;5.858;16.72;12.329;4.391;0
3050;6.016;17.407;12.938;4.469;0
3100;5.625;17.782;13.157;4.625;0
3150;6.051;18.658;13.783;4.875;0
3200;6.188;18.18;13.321;4.859;0
3250;6.251;19.328;14.031;5.297;0
3300;6.298;19.971;14.626;5.345;0
3350;6.141;20.689;15.298;5.391;0
3400;6.64;21.446;15.867;5.579;0
3450;6.453;21.453;15.703;5.75;0
3500;6.86;26.376;20.236;6.14;0
3550;6.547;26.753;20.674;6.079;0
3600;6.875;27.61;21.423;6.187;0
3650;6.782;29.658;22.986;6.672;0
3700;6.844;30.066;23.377;6.689;0
3750;7.438;30.7;23.907;6.793;0
3800;7.267;30.883;24.054;6.829;0
3850;7.312;32.597;25.347;7.25;0
3900;7.219;33.596;26.111;7.485;0
3950;7.094;33.673;25.658;8.015;0
4000;7.781;35.142;27.392;7.75;0
4050;8;36.675;28.393;8.282;0
4100;8.907;35.971;27.596;8.375;0
4150;8.078;37.617;29.179;8.438;0
4200;7.844;38.785;30.128;8.641;0.016
4250;8.251;39.511;30.573;8.938;0
4300;8.453;40.268;31.236;9.032;0
4350;8.422;42.073;32.76;9.313;0
4400;8.297;43.278;33.683;9.595;0
4450;9.36;43.681;33.836;9.845;0
4500;8.86;44.535;34.581;9.954;0
4550;9.266;45.367;35.006;10.361;0
4600;9.001;46.537;36.067;10.47;0
4650;8.688;46.912;36.271;10.641;0
4700;9.438;49.458;38.363;11.095;0
4750;9.407;49.774;38.591;11.183;0
4800;9.391;51.185;39.842;11.343;0
4850;10.426;51.38;39.457;11.923;0
4900;9.517;53.391;41.218;12.173;0
4950;9.537;54.529;42.294;12.235;0
5000;9.532;52.097;39.627;12.47;0
5050;9.593;51.938;39.093;12.845;0
5100;10.079;53.048;40.094;12.954;0
5150;9.906;51.148;39.443;11.705;0
5200;10.891;49.988;37.925;12.063;0
5250;9.861;50.287;38.161;12.126;0
5300;10.235;49.972;38.784;11.188;0
5350;10.188;50.524;39.133;11.391;0
5400;10.672;51.815;40.002;11.813;0
5450;10.204;52.612;41.034;11.578;0
5500;11.446;53.131;41.067;12.064;0
5550;11.071;54.534;42.252;12.282;0
5600;10.61;56.052;43.723;12.329;0
5650;12.062;56.521;43.709;12.812;0
5700;14.298;58.181;44.942;13.239;0
5750;14.532;68.797;53.236;15.561;0
5800;14.814;73.848;57.551;16.297;0
5850;14.86;76.634;59.211;17.423;0
5900;15.283;76.01;58.519;17.491;0
5950;15.334;78.198;60.51;17.688;0
6000;15.548;80.132;62.459;17.673;0
