nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.131;0;0;0;0
50;0.124;0.012;0.007;0.005;0
100;0.23;0.015;0.015;0;0
100;0.263;0.021;0.016;0.005;0
150;0.405;0.031;0.031;0;0
150;0.37;0.057;0.047;0.01;0
200;0.445;0.045;0.045;0;0
200;0.41;0.085;0.07;0.015;0
250;0.29;0.13;0.11;0.02;0
250;0.545;0.07;0.065;0.005;0
300;0.62;0.171;0.136;0.035;0
300;0.63;0.109;0.097;0.012;0
350;0.703;0.225;0.18;0.045;0
350;0.764;0.136;0.126;0.01;0
400;0.815;0.303;0.24;0.063;0
400;0.88;0.175;0.16;0.015;0
450;0.878;0.373;0.298;0.075;0
450;0.915;0.215;0.2;0.015;0
500;1.037;0.269;0.242;0.027;0
500;0.998;0.456;0.366;0.09;0
550;1.16;0.327;0.302;0.025;0
550;1.157;0.559;0.442;0.117;0
600;1.355;0.391;0.356;0.035;0
600;1.288;0.746;0.616;0.13;0
650;1.357;0.495;0.455;0.04;0
650;1.23;0.845;0.69;0.155;0
700;0.816;0.568;0.523;0.045;0
700;1.446;0.945;0.76;0.185;0
750;1.707;0.62;0.565;0.05;0.005
750;1.491;1.037;0.832;0.205;0
800;1.751;0.705;0.645;0.06;0
800;1.625;1.189;0.959;0.23;0
850;1.817;0.805;0.74;0.065;0
850;1.711;1.357;1.08;0.277;0
900;2.007;0.882;0.805;0.077;0
900;1.873;1.468;1.185;0.283;0
950;2.182;0.98;0.9;0.08;0
950;1.851;1.64;1.33;0.31;0
1000;2.201;1.328;1.241;0.087;0
1000;2.047;1.827;1.469;0.358;0
1050;2.185;2.37;1.985;0.385;0
1100;2.472;2.238;1.81;0.428;0
1150;2.521;2.285;1.825;0.46;0
1200;2.486;2.425;1.929;0.496;0
1250;2.801;2.677;2.142;0.535;0
1300;2.702;2.946;2.368;0.578;0
1350;3.083;3.075;2.445;0.63;0
1400;2.942;3.445;2.775;0.67;0
1450;3.211;3.584;2.874;0.71;0
1500;3.176;4.383;3.599;0.784;0
1550;3.133;4.487;3.641;0.846;0
1600;4.078;5.001;4.101;0.9;0
1650;3.775;7.368;6.423;0.945;0
1700;3.484;5.667;4.637;1.03;0
1750;3.416;5.672;4.59;1.082;0
1800;3.535;5.792;4.609;1.183;0
1850;3.926;6.606;5.351;1.255;0
1900;3.852;6.936;5.562;1.374;0
1950;3.905;10.268;8.848;1.42;0
2000;4.31;7.381;5.925;1.456;0
2050;4.148;8.496;6.928;1.568;0
2100;4.313;7.68;6.095;1.585;0
2150;4.152;8.322;6.646;1.676;0
2200;4.265;8.793;6.996;1.797;0
2250;4.46;9.041;7.13;1.911;0
2300;4.565;9.597;7.611;1.986;0
2350;4.764;10.05;8.042;2.008;0
2400;4.695;10.205;8.075;2.13;0
2450;4.681;10.579;8.371;2.208;0
2500;4.89;11.528;9.176;2.352;0
2550;5.325;11.854;9.231;2.623;0
2600;5.348;12.627;9.834;2.793;0
2650;5.081;12.971;10.203;2.768;0
2700;5.512;13.028;10.286;2.742;0
2750;5.535;14.051;11.081;2.97;0
2800;5.488;14.227;11.104;3.123;0
2850;5.933;15.065;11.925;3.14;0
2900;5.805;15.16;12.036;3.124;0
2950;5.762;16.136;12.906;3.23;0
3000;6.223;15.834;12.408;3.426;0
