nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.484;0.001;0;0.001;0
100;0.453;0.184;0.169;0;0.015
150;0.36;0.079;0.047;0.016;0.016
200;1.187;0.109;0.094;0.015;0
250;1.265;0.095;0.079;0;0.016
300;1.453;0.094;0.078;0.016;0
350;1.891;0.14;0.125;0.015;0
400;1.875;0.174;0.159;0.015;0
450;2.422;0.235;0.203;0.032;0
500;2.813;0.473;0.364;0.109;0
550;2.61;0.58;0.44;0.14;0
600;1.64;0.688;0.531;0.157;0
650;3.11;1.001;0.813;0.188;0
700;3.276;0.953;0.719;0.234;0
750;3.477;1.093;0.843;0.25;0
800;3.782;1.267;0.954;0.298;0.015
850;3.736;1.406;1.093;0.313;0
900;4.408;1.625;1.25;0.375;0
950;4.406;1.844;1.422;0.422;0
1000;4.047;3.334;2.647;0.672;0.015
1100;5.017;2.679;2.023;0.656;0
1200;5.469;2.905;2.107;0.783;0.015
1300;5.86;4.899;4.008;0.891;0
1400;5.828;3.844;2.859;0.985;0
1500;4.892;4.453;3.313;1.14;0
1600;5.36;6.124;4.812;1.312;0
1700;6.926;6.932;5.557;1.375;0
1800;7.425;6.297;4.719;1.562;0.016
1900;7.031;7.027;5.299;1.728;0
2000;7.642;8.509;6.517;1.992;0
2100;9.454;10.469;8.328;2.141;0
2200;10.487;9.41;7.129;2.281;0
2300;10.501;10.615;8.068;2.547;0
2400;11.173;13.627;10.861;2.766;0
2500;11.408;12.592;9.388;3.204;0
2600;11.846;15.509;12.197;3.312;0
2700;12.095;14.479;10.992;3.487;0
2800;13.161;16.843;13.077;3.766;0
2900;13.922;17.253;13.081;4.172;0
3000;13.97;20.038;15.662;4.376;0
