nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.812;0;0;0;0
50;0.704;0.016;0.016;0;0
100;1.391;0.008;0.008;0;0
100;1.391;0.037;0.022;0.015;0
150;2.593;0.046;0.031;0.015;0
150;1.313;0.031;0.031;0;0
200;2.844;0.047;0.047;0;0
200;2.749;0.093;0.062;0.031;0
250;3.219;0.141;0.094;0.047;0
250;3.547;0.062;0.062;0;0
300;3.922;0.156;0.125;0.031;0
300;4.031;0.093;0.078;0.015;0
350;3.188;0.25;0.203;0.047;0
350;3.516;0.172;0.141;0.016;0.015
400;2.984;0.329;0.266;0.063;0
400;5.501;0.186;0.171;0.015;0
450;5.735;0.438;0.344;0.094;0
450;6.125;0.234;0.219;0.015;0
500;6.906;0.312;0.297;0.015;0
500;6.391;0.515;0.406;0.109;0
550;7.313;0.329;0.282;0.047;0
550;7.454;0.546;0.421;0.125;0
600;6.547;0.421;0.374;0.047;0
600;3.704;0.781;0.625;0.156;0
650;8.908;0.517;0.485;0.032;0
650;6.064;0.874;0.687;0.187;0
700;3.751;0.609;0.546;0.063;0
700;7.126;1.046;0.828;0.218;0
750;9.937;0.924;0.86;0.064;0
750;8.485;1.186;0.921;0.265;0
800;11.047;0.828;0.75;0.078;0
800;9.926;1.453;1.109;0.344;0
850;11.615;1;0.922;0.078;0
850;10.551;1.578;1.25;0.328;0
900;12.475;1.047;0.953;0.094;0
900;10.909;1.797;1.375;0.422;0
950;13.75;1.125;1.016;0.109;0
950;12.128;1.937;1.515;0.422;0
1000;13.956;1.526;1.401;0.125;0
1000;12.375;1.839;1.37;0.469;0
1050;13.079;1.938;1.5;0.438;0
1100;13.431;2.273;1.761;0.512;0
1150;14.766;2.265;1.703;0.562;0
1200;15.674;2.5;1.859;0.641;0
1250;15.532;2.767;2.032;0.735;0
1300;15.782;3.749;3.062;0.687;0
1350;17.295;3.224;2.427;0.797;0
1400;19.334;3.32;2.461;0.859;0
1450;21.5;4.197;3.228;0.969;0
1500;21.743;4.23;3.214;1.016;0
1550;22.659;4.392;3.298;1.094;0
1600;22.909;5.062;3.844;1.218;0
1650;23.997;5.047;3.735;1.312;0
1700;25.142;5.278;3.918;1.36;0
1750;26.762;5.594;4.11;1.484;0
1800;23.065;5.986;4.391;1.595;0
1850;24.252;8.19;6.393;1.797;0
1900;26.674;10.33;8.658;1.672;0
1950;24.393;10.94;9.143;1.797;0
2000;24.222;11.43;9.508;1.922;0
2050;25.346;10.089;8.026;2.063;0
2100;26.251;11.084;8.896;2.188;0
2150;27.159;9.906;7.688;2.218;0
2200;27.252;13.615;11.27;2.345;0
2250;24.596;9.162;6.724;2.438;0
2300;25.657;10.64;8.015;2.625;0
2350;24.614;11.698;9.136;2.562;0
2400;25.407;13.008;10.273;2.735;0
2450;29.524;11.352;8.461;2.891;0
2500;25.83;13.625;10.625;3;0
2550;27.837;12.285;9.066;3.203;0.016
2600;26.738;13.539;10.258;3.281;0
2650;28.163;13.658;10.189;3.469;0
2700;27.064;13.204;9.767;3.437;0
2750;30.222;14.397;10.646;3.751;0
2800;36.158;14.484;10.672;3.812;0
2850;35.817;15.047;11.125;3.922;0
2900;38.225;15.211;11.273;3.938;0
2950;37.801;16.154;11.904;4.25;0
3000;37.677;16.658;12.329;4.329;0
3050;39.644;17.422;12.938;4.484;0
3100;38.691;17.876;13.157;4.719;0
3150;39.551;18.393;13.783;4.61;0
3200;42.349;18.446;13.321;5.125;0
3250;42.305;19.172;14.031;5.125;0.016
3300;44.973;19.688;14.626;5.062;0
3350;42.405;20.847;15.298;5.549;0
3400;43.723;21.563;15.867;5.696;0
3450;42.545;21.547;15.703;5.844;0
3500;43.703;26.346;20.236;6.11;0
3550;38.356;26.596;20.674;5.922;0
3600;36.705;27.455;21.423;6.032;0
3650;38.828;29.502;22.986;6.516;0
3700;39.628;30.05;23.377;6.673;0
3750;42.829;30.829;23.907;6.922;0
3800;39.986;31.164;24.054;7.11;0
3850;39.727;32.742;25.347;7.395;0
3900;41.925;33.562;26.111;7.451;0
3950;47.747;33.486;25.658;7.828;0
4000;50.097;35.408;27.392;8.016;0
4050;51.15;36.41;28.393;8.017;0
4100;58.097;36.143;27.596;8.547;0
4150;51.988;38.305;29.179;9.126;0
4200;54.254;38.694;30.128;8.566;0
4250;51.91;39.467;30.573;8.894;0
4300;53.021;40.518;31.236;9.282;0
4350;55.129;42.232;32.76;9.472;0
4400;56.825;43.293;33.683;9.61;0
4450;57.597;44.525;33.836;10.689;0
4500;55.391;44.8;34.581;10.219;0
4550;55.264;45.415;35.006;10.409;0
4600;47.049;46.723;36.067;10.656;0
4650;45.331;46.85;36.271;10.563;0.016
4700;45.363;49.271;38.363;10.908;0
4750;44.678;50.014;38.591;11.423;0
4800;45.92;51.514;39.842;11.672;0
4850;67.918;51.239;39.457;11.782;0
4900;60.787;53.203;41.218;11.985;0
4950;60.707;54.826;42.294;12.532;0
5000;65.492;52.159;39.627;12.532;0
5050;62.318;51.954;39.093;12.861;0
5100;63.717;53.098;40.094;13.004;0
5150;66.26;52.803;39.443;13.36;0
5200;68.902;51.66;37.925;13.735;0
5250;66.29;52.022;38.161;13.861;0
5300;57.772;53.081;38.784;14.297;0
5350;57.24;53.447;39.133;14.314;0
5400;59.849;54.519;40.002;14.517;0
5450;68.645;56.27;41.034;15.236;0
5500;73.138;56.302;41.067;15.235;0
5550;70.307;58.457;42.252;16.205;0
5600;68.835;59.396;43.723;15.673;0
5650;72.294;59.616;43.709;15.907;0
5700;72.705;61.318;44.942;16.36;0.016
5750;74.5;69.659;53.236;16.423;0
5800;72.989;74.411;57.551;16.86;0
5850;74.427;76.4;59.211;17.189;0
5900;75.514;75.818;58.519;17.299;0
5950;74.029;78.448;60.51;17.938;0
6000;75.89;80.444;62.459;17.985;0
