nodes;Pipe 1;Pipe 2;reduction;kernel;hs_st
198;2.422;0.086;0.07;0.016;0
199;2.676;0.136;0.105;0.031;0
200;3.235;0.186;0.17;0.016;0
200;2.522;0.101;0.07;0.031;0
200;3.077;0.093;0.077;0.016;0
200;2.359;0.121;0.074;0.032;0.015
200;2.516;0.134;0.087;0.032;0.015
200;2.625;0.097;0.081;0.016;0
200;2.610;0.15;0.088;0.047;0.015
200;3.406;0.152;0.12;0.032;0
200;3.939;0.104;0.089;0.015;0
200;3.016;0.118;0.102;0.016;0
200;3.197;0.147;0.1;0.047;0
200;3.320;0.1;0.085;0.015;0
200;3.469;0.18;0.117;0.063;0
200;2.547;0.111;0.096;0.015;0
200;2.360;0.107;0.075;0.032;0
200;2.485;0.115;0.1;0.015;0
200;2.578;0.142;0.111;0.031;0
200;2.812;0.137;0.105;0.032;0
200;3.001;0.121;0.09;0.031;0
200;3.502;0.117;0.086;0.031;0
200;3.734;0.141;0.11;0.031;0
200;2.672;0.111;0.095;0.016;0
200;2.434;0.131;0.1;0.031;0
200;2.625;0.157;0.11;0.032;0.015
200;2.812;0.147;0.115;0.032;0
450;11.776;19.221;11.815;7.406;0
1150;21.619;420.218;250.762;169.456;0
1534;28.645;1109.002;624.952;484.05;0
1534;26.02;1057.471;616.843;440.628;0
2980;33.466;9.853;9.243;0.61;0
2980;38.838;10.419;9.826;0.593;0
3523;40.35;13.372;12.466;0.891;0.015
3523;33.878;13.278;12.341;0.937;0
4227;41.701;19.54;18.133;1.407;0
4410;60.161;20.186;18.921;1.265;0
4579;45.907;23.352;21.446;1.906;0
4768;55.917;24.613;22.972;1.641;0
5066;50.852;28.807;26.947;1.86;0
6160;117.057;155.052;105.07;49.982;0
6795;93.913;48.275;45.208;3.067;0
7030;69.222;55.586;51.085;4.501;0
7400;74.151;62.188;57.438;4.75;0
8794;210.691;87.938;85.032;2.906;0
9877;171.414;135.74;119.378;16.331;0.031
