file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
bara_alb_n_200_m_1_0.txt;200;2;1;1;-1.0;-1;0.193;200;175;0.014;0;1;0.001;0.20800000000000002;0;1.166;-1;-1;0;
bara_alb_n_200_m_1_1.txt;200;2;1;1;-1.0;-1;0.067;200;197;0.011;0;1;0.001;0.079;0;1.611;-1;-1;0;
bara_alb_n_200_m_1_2.txt;200;2;1;1;-1.0;-1;0.06;200;190;0.007;0;1;0.0;0.067;0;1.182;-1;-1;0;
bara_alb_n_200_m_1_3.txt;200;2;1;1;-1.0;-1;0.053;200;159;0.003;0;1;0.0;0.056;0;0.862;-1;-1;0;
bara_alb_n_200_m_1_4.txt;200;2;1;1;-1.0;-1;0.072;200;191;0.004;0;1;0.0;0.076;0;1.526;-1;-1;0;
bara_alb_n_200_m_1_5.txt;200;2;1;1;-1.0;-1;0.047;200;190;0.004;0;1;0.0;0.051000000000000004;0;1.085;-1;-1;0;
bara_alb_n_200_m_1_6.txt;200;2;1;1;-1.0;-1;0.041;200;197;0.005;0;1;0.0;0.046;0;1.69;-1;-1;0;
bara_alb_n_200_m_1_7.txt;200;2;1;1;-1.0;-1;0.044;200;182;0.008;0;1;0.001;0.053;0;1.091;-1;-1;0;
bara_alb_n_200_m_1_8.txt;200;2;1;1;-1.0;-1;0.079;200;178;0.002;0;1;0.001;0.082;0;1.102;-1;-1;0;
bara_alb_n_200_m_1_9.txt;200;2;1;1;-1.0;-1;0.055;200;196;0.005;0;1;0.003;0.063;0;1.589;-1;-1;0;
bara_alb_n_400_m_1_0.gr;400;2;1;1;-1.0;-1;0.144;400;386;0.014;0;1;0.0;0.158;0;20.056;-1;-1;0;
bara_alb_n_400_m_1_1.gr;400;2;1;1;-1.0;-1;0.217;400;362;0.018;0;1;0.0;0.235;0;14.771;-1;-1;0;
bara_alb_n_400_m_1_2.gr;400;2;1;1;-1.0;-1;0.14;400;375;0.012;0;1;0.0;0.15200000000000002;0;19.525;-1;-1;0;
bara_alb_n_400_m_1_3.gr;400;2;1;1;-1.0;-1;0.14;400;389;0.017;0;1;0.001;0.15800000000000003;0;21.266;-1;-1;0;
bara_alb_n_400_m_1_4.gr;400;2;1;1;-1.0;-1;0.141;400;373;0.013;0;1;0.001;0.155;0;17.687;-1;-1;0;
bara_alb_n_400_m_1_5.gr;400;2;1;1;-1.0;-1;0.138;400;390;0.012;0;1;0.0;0.15000000000000002;0;20.911;-1;-1;0;
bara_alb_n_400_m_1_6.gr;400;2;1;1;-1.0;-1;0.152;400;384;0.009;0;1;0.0;0.161;0;21.023;-1;-1;0;
