file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
bara_alb_n_20_m_1_0.gr;20;2;1;1;-1.0;-1;0.033;20;12;0.002;0;1;0.0;0.035;0;0.038;-1;-1;0;
bara_alb_n_20_m_1_1.gr;20;2;1;1;-1.0;-1;0.013;20;14;0.001;0;1;0.0;0.013999999999999999;0;0.014;-1;-1;0;
bara_alb_n_20_m_1_2.gr;20;2;1;1;-1.0;-1;0.009;20;18;0.006;0;1;0.001;0.016;0;0.018;-1;-1;0;
bara_alb_n_20_m_1_3.gr;20;2;1;1;-1.0;-1;0.004;20;16;0.0;0;1;0.0;0.004;0;0.005;-1;-1;0;
bara_alb_n_20_m_1_4.gr;20;2;1;1;-1.0;-1;0.004;20;16;0.0;0;1;0.0;0.004;0;0.004;-1;-1;0;
bara_alb_n_20_m_1_5.gr;20;2;1;1;-1.0;-1;0.013;20;9;0.0;0;1;0.0;0.013;0;0.014;-1;-1;0;
bara_alb_n_20_m_1_6.gr;20;2;1;1;-1.0;-1;0.004;20;12;0.0;0;1;0.0;0.004;0;0.004;-1;-1;0;
bara_alb_n_20_m_1_7.gr;20;2;1;1;-1.0;-1;0.003;20;16;0.0;0;1;0.0;0.003;0;0.004;-1;-1;0;
bara_alb_n_20_m_1_8.gr;20;2;1;1;-1.0;-1;0.034;20;12;0.001;0;1;0.0;0.035;0;0.037;-1;-1;0;
bara_alb_n_20_m_1_9.gr;20;2;1;1;-1.0;-1;0.005;20;16;0.0;0;1;0.0;0.005;0;0.006;-1;-1;0;
bara_alb_n_40_m_1_0.gr;40;2;1;1;-1.0;-1;0.015;40;36;0.001;0;1;0.0;0.016;0;0.026;-1;-1;0;
bara_alb_n_40_m_1_1.gr;40;2;1;1;-1.0;-1;0.005;40;23;0.0;0;1;0.001;0.006;0;0.012;-1;-1;0;
bara_alb_n_40_m_1_2.gr;40;2;1;1;-1.0;-1;0.007;40;38;0.001;0;1;0.001;0.009000000000000001;0;0.014;-1;-1;0;
bara_alb_n_40_m_1_3.gr;40;2;1;1;-1.0;-1;0.007;40;30;0.0;0;1;0.0;0.007;0;0.012;-1;-1;0;
bara_alb_n_40_m_1_4.gr;40;2;1;1;-1.0;-1;0.004;40;27;0.0;0;1;0.0;0.004;0;0.008;-1;-1;0;
bara_alb_n_40_m_1_5.gr;40;2;1;1;-1.0;-1;0.004;40;29;0.001;0;1;0.0;0.005;0;0.011;-1;-1;0;
bara_alb_n_40_m_1_6.gr;40;2;1;1;-1.0;-1;0.006;40;36;0.001;0;1;0.0;0.007;0;0.02;-1;-1;0;
bara_alb_n_40_m_1_7.gr;40;2;1;1;-1.0;-1;0.01;40;33;0.001;0;1;0.0;0.011;0;0.016;-1;-1;0;
bara_alb_n_40_m_1_8.gr;40;2;1;1;-1.0;-1;0.008;40;19;0.0;0;1;0.001;0.009000000000000001;0;0.011;-1;-1;0;
bara_alb_n_40_m_1_9.gr;40;2;1;1;-1.0;-1;0.012;40;38;0.001;0;1;0.0;0.013000000000000001;0;0.017;-1;-1;0;
bara_alb_n_60_m_1_0.gr;60;2;1;1;-1.0;-1;0.014;60;54;0.001;0;1;0.0;0.015;0;0.037;-1;-1;0;
bara_alb_n_60_m_1_1.gr;60;2;1;1;-1.0;-1;0.012;60;35;0.001;0;1;0.0;0.013000000000000001;0;0.019;-1;-1;0;
bara_alb_n_60_m_1_2.gr;60;2;1;1;-1.0;-1;0.023;60;54;0.001;0;1;0.001;0.025;0;0.038;-1;-1;0;
bara_alb_n_60_m_1_3.gr;60;2;1;1;-1.0;-1;0.011;60;35;0.0;0;1;0.001;0.012;0;0.021;-1;-1;0;
bara_alb_n_60_m_1_4.gr;60;2;1;1;-1.0;-1;0.008;60;47;0.001;0;1;0.001;0.010000000000000002;0;0.024;-1;-1;0;
bara_alb_n_60_m_1_5.gr;60;2;1;1;-1.0;-1;0.004;60;56;0.001;0;1;0.0;0.005;0;0.034;-1;-1;0;
bara_alb_n_60_m_1_6.gr;60;2;1;1;-1.0;-1;0.005;60;52;0.001;0;1;0.0;0.006;0;0.026;-1;-1;0;
bara_alb_n_60_m_1_7.gr;60;2;1;1;-1.0;-1;0.007;60;48;0.001;0;1;0.0;0.008;0;0.023;-1;-1;0;
bara_alb_n_60_m_1_8.gr;60;2;1;1;-1.0;-1;0.005;60;57;0.001;0;1;0.0;0.006;0;0.033;-1;-1;0;
bara_alb_n_60_m_1_9.gr;60;2;1;1;-1.0;-1;0.007;60;51;0.002;0;1;0.0;0.009000000000000001;0;0.02;-1;-1;0;
bara_alb_n_80_m_1_0.gr;80;2;1;1;-1.0;-1;0.009;80;78;0.006;0;1;0.0;0.015;0;0.076;-1;-1;0;
bara_alb_n_80_m_1_1.gr;80;2;1;1;-1.0;-1;0.012;80;64;0.001;0;1;0.0;0.013000000000000001;0;0.048;-1;-1;0;
bara_alb_n_80_m_1_2.gr;80;2;1;1;-1.0;-1;0.016;80;71;0.001;0;1;0.0;0.017;0;0.07;-1;-1;0;
bara_alb_n_80_m_1_3.gr;80;2;1;1;-1.0;-1;0.015;80;76;0.001;0;1;0.0;0.016;0;0.081;-1;-1;0;
bara_alb_n_80_m_1_4.gr;80;2;1;1;-1.0;-1;0.006;80;65;0.001;0;1;0.0;0.007;0;0.052;-1;-1;0;
bara_alb_n_80_m_1_5.gr;80;2;1;1;-1.0;-1;0.006;80;76;0.002;0;1;0.0;0.008;0;0.059;-1;-1;0;
bara_alb_n_80_m_1_6.gr;80;2;1;1;-1.0;-1;0.006;80;71;0.001;0;1;0.0;0.007;0;0.067;-1;-1;0;
bara_alb_n_80_m_1_7.gr;80;2;1;1;-1.0;-1;0.006;80;64;0.003;0;1;0.0;0.009000000000000001;0;0.045;-1;-1;0;
bara_alb_n_80_m_1_8.gr;80;2;1;1;-1.0;-1;0.007;80;76;0.001;0;1;0.001;0.009000000000000001;0;0.087;-1;-1;0;
bara_alb_n_80_m_1_9.gr;80;2;1;1;-1.0;-1;0.006;80;69;0.002;0;1;0.0;0.008;0;0.042;-1;-1;0;
bara_alb_n_100_m_1_0.gr;100;2;1;1;-1.0;-1;0.009;100;81;0.001;0;1;0.0;0.009999999999999998;0;0.089;-1;-1;0;
bara_alb_n_100_m_1_1.gr;100;2;1;1;-1.0;-1;0.01;100;78;0.011;0;1;0.0;0.020999999999999998;0;0.097;-1;-1;0;
bara_alb_n_100_m_1_2.gr;100;2;1;1;-1.0;-1;0.014;100;85;0.001;0;1;0.0;0.015;0;0.123;-1;-1;0;
bara_alb_n_100_m_1_3.gr;100;2;1;1;-1.0;-1;0.019;100;93;0.001;0;1;0.0;0.02;0;0.159;-1;-1;0;
bara_alb_n_100_m_1_4.gr;100;2;1;1;-1.0;-1;0.021;100;81;0.001;0;1;0.0;0.022000000000000002;0;0.109;-1;-1;0;
bara_alb_n_100_m_1_5.gr;100;2;1;1;-1.0;-1;0.02;100;95;0.001;0;1;0.0;0.021;0;0.175;-1;-1;0;
bara_alb_n_100_m_1_6.gr;100;2;1;1;-1.0;-1;0.011;100;89;0.003;0;1;0.0;0.013999999999999999;0;0.131;-1;-1;0;
bara_alb_n_100_m_1_7.gr;100;2;1;1;-1.0;-1;0.009;100;87;0.002;0;1;0.0;0.011;0;0.109;-1;-1;0;
bara_alb_n_100_m_1_8.gr;100;2;1;1;-1.0;-1;0.01;100;94;0.002;0;1;0.0;0.012;0;0.143;-1;-1;0;
bara_alb_n_100_m_1_9.gr;100;2;1;1;-1.0;-1;0.011;100;98;0.002;0;1;0.0;0.013;0;0.137;-1;-1;0;
bara_alb_n_120_m_1_0.gr;120;2;1;1;-1.0;-1;0.02;120;105;0.0;0;1;0.0;0.02;0;0.161;-1;-1;0;
bara_alb_n_120_m_1_1.gr;120;2;1;1;-1.0;-1;0.015;120;115;0.003;0;1;0.0;0.018;0;0.279;-1;-1;0;
bara_alb_n_120_m_1_2.gr;120;2;1;1;-1.0;-1;0.016;120;100;0.001;0;1;0.0;0.017;0;0.205;-1;-1;0;
bara_alb_n_120_m_1_3.gr;120;2;1;1;-1.0;-1;0.014;120;115;0.001;0;1;0.0;0.015;0;0.312;-1;-1;0;
bara_alb_n_120_m_1_4.gr;120;2;1;1;-1.0;-1;0.016;120;103;0.004;0;1;0.0;0.02;0;0.207;-1;-1;0;
bara_alb_n_120_m_1_5.gr;120;2;1;1;-1.0;-1;0.016;120;103;0.001;0;1;0.0;0.017;0;0.217;-1;-1;0;
bara_alb_n_120_m_1_6.gr;120;2;1;1;-1.0;-1;0.028;120;113;0.001;0;1;0.001;0.030000000000000002;0;0.275;-1;-1;0;
bara_alb_n_120_m_1_7.gr;120;2;1;1;-1.0;-1;0.027;120;110;0.001;0;1;0.0;0.028;0;0.273;-1;-1;0;
bara_alb_n_120_m_1_8.gr;120;2;1;1;-1.0;-1;0.032;120;109;0.002;0;1;0.0;0.034;0;0.227;-1;-1;0;
bara_alb_n_120_m_1_9.gr;120;2;1;1;-1.0;-1;0.032;120;102;0.001;0;1;0.0;0.033;0;0.175;-1;-1;0;
bara_alb_n_140_m_1_0.gr;140;2;1;1;-1.0;-1;0.031;140;138;0.002;0;1;0.0;0.033;0;0.435;-1;-1;0;
bara_alb_n_140_m_1_1.gr;140;2;1;1;-1.0;-1;0.027;140;129;0.002;0;1;0.0;0.028999999999999998;0;0.334;-1;-1;0;
bara_alb_n_140_m_1_2.gr;140;2;1;1;-1.0;-1;0.039;140;127;0.008;0;1;0.0;0.047;0;0.387;-1;-1;0;
bara_alb_n_140_m_1_3.gr;140;2;1;1;-1.0;-1;0.024;140;138;0.005;0;1;0.0;0.029;0;0.438;-1;-1;0;
bara_alb_n_140_m_1_4.gr;140;2;1;1;-1.0;-1;0.024;140;131;0.008;0;1;0.0;0.032;0;0.344;-1;-1;0;
bara_alb_n_140_m_1_5.gr;140;2;1;1;-1.0;-1;0.024;140;129;0.001;0;1;0.0;0.025;0;0.374;-1;-1;0;
bara_alb_n_140_m_1_6.gr;140;2;1;1;-1.0;-1;0.025;140;133;0.003;0;1;0.0;0.028;0;0.432;-1;-1;0;
bara_alb_n_140_m_1_7.gr;140;2;1;1;-1.0;-1;0.018;140;100;0.01;0;1;0.0;0.027999999999999997;0;0.186;-1;-1;0;
bara_alb_n_140_m_1_8.gr;140;2;1;1;-1.0;-1;0.02;140;112;0.002;0;1;0.0;0.022;0;0.263;-1;-1;0;
