nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;0.03;0;0;0;0
50;0.026;0.007;0.007;0;0
100;0.05;0.02;0.015;0.005;0
100;0.055;0.026;0.016;0.01;0
150;0.08;0.031;0.031;0;0
150;0.07;0.055;0.047;0.008;0
200;0.092;0.05;0.045;0.005;0
200;0.083;0.09;0.07;0.02;0
250;0.064;0.13;0.11;0.02;0
250;0.11;0.07;0.065;0.005;0
300;0.135;0.166;0.136;0.03;0
300;0.135;0.104;0.097;0.007;0
350;0.154;0.22;0.18;0.04;0
350;0.201;0.136;0.126;0.01;0
400;0.26;0.299;0.24;0.059;0
400;0.264;0.175;0.16;0.015;0
450;0.205;0.366;0.298;0.068;0
450;0.21;0.215;0.2;0.015;0
500;0.222;0.262;0.242;0.02;0
500;0.208;0.454;0.366;0.088;0
550;0.234;0.332;0.302;0.03;0
550;0.22;0.545;0.442;0.103;0
600;0.269;0.393;0.356;0.037;0
600;0.246;0.734;0.616;0.118;0
650;0.266;0.495;0.455;0.04;0
650;0.25;0.835;0.69;0.145;0
700;0.165;0.563;0.523;0.04;0
700;0.281;0.93;0.76;0.17;0
750;0.32;0.615;0.565;0.05;0
750;0.29;1.019;0.832;0.187;0
800;0.331;0.7;0.645;0.055;0
800;0.31;1.172;0.959;0.213;0
850;0.373;0.805;0.74;0.065;0
850;0.337;1.33;1.08;0.25;0
900;0.388;0.88;0.805;0.075;0
900;0.361;1.466;1.185;0.281;0
950;0.433;0.987;0.9;0.087;0
950;0.363;1.654;1.33;0.324;0
1000;0.49;1.426;1.241;0.185;0
1000;0.406;1.879;1.469;0.41;0
1050;0.435;2.44;1.985;0.455;0
1100;0.43;2.245;1.81;0.435;0
1150;0.435;2.286;1.825;0.461;0
1200;0.467;2.421;1.929;0.492;0
1250;0.484;2.679;2.142;0.537;0
1300;0.496;2.956;2.368;0.588;0
1350;0.515;3.069;2.445;0.624;0
1400;0.536;3.45;2.775;0.675;0
1450;0.58;3.606;2.874;0.732;0
1500;0.625;4.391;3.599;0.792;0
1550;0.595;4.525;3.641;0.884;0
1600;0.632;5.024;4.101;0.923;0
1650;0.65;7.413;6.423;0.99;0
1700;0.668;5.729;4.637;1.092;0
1750;0.695;5.755;4.59;1.165;0
1800;0.667;5.87;4.609;1.261;0
1850;0.735;6.646;5.351;1.295;0
1900;0.74;6.977;5.562;1.415;0
1950;0.76;10.248;8.848;1.4;0
2000;0.811;7.408;5.925;1.483;0
2050;0.805;8.509;6.928;1.581;0
2100;0.811;7.686;6.095;1.591;0
2150;0.84;8.376;6.646;1.73;0
2200;0.834;8.724;6.996;1.728;0
2250;0.84;8.93;7.13;1.8;0
2300;0.9;9.499;7.611;1.888;0
2350;0.926;10.019;8.042;1.977;0
2400;0.93;10.188;8.075;2.113;0
2450;0.965;10.86;8.371;2.484;0.005
2500;0.996;11.486;9.176;2.31;0
2550;1.068;11.831;9.231;2.6;0
2600;1.019;12.347;9.834;2.513;0
2650;1.042;12.865;10.203;2.662;0
2700;1.13;13.115;10.286;2.829;0
2750;1.135;13.972;11.081;2.891;0
2800;1.185;14.128;11.104;3.024;0
2850;1.206;14.941;11.925;3.016;0
2900;1.158;15.119;12.036;3.083;0
2950;1.159;16.105;12.906;3.199;0
3000;1.255;15.714;12.408;3.306;0
