nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density
200;0;573.409;341.473;216.863;15.073;12;0;0;1;724;124;-1;15
200;0;589.259;362.162;215.187;11.91;12;0;0;1;643;119;-1;15
200;0.016;598.453;367.268;215.509;15.676;12;0;0;1;664;127;-1;15
200;0;836.035;510.62;308.265;17.15;12;0;0;1;673;121;-1;16
200;0;731.856;450.463;271.517;9.876;12;0;0;1;690;100;-1;16
200;0;812.411;518.329;282.067;12.015;12;0;0;1;606;138;-1;16
200;0;779.315;459.577;300.345;19.393;12;0;0;1;735;131;-1;16
200;0.015;818.138;488.27;315.382;14.486;12;0;0;1;684;139;-1;16
200;0;776.536;472.908;290.36;13.268;12;0;0;1;729;124;-1;16
200;0;776.664;459.337;296.433;20.894;12;0;0;1;663;121;-1;16
200;0;801.49;466.756;316.685;18.049;12;0;0;1;1143;130;-1;16
200;0;772.579;475.478;283.41;13.691;12;0;0;1;764;111;-1;16
200;0;820.998;497.409;304.821;18.768;12;0;0;1;747;114;-1;16
