nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density
1000;3.573;1.2690000000000001;1.175;0.094;0.0;12;0.0;0.0;1.0;5.0;8.0;-1;2.0
1000;3.877;1.173;1.095;0.078;0.0;12;0.0;0.0;1.0;4.0;5.0;-1;2.0
1000;3.515;1.1440000000000001;1.05;0.094;0.0;12;0.0;0.0;1.0;21.0;31.0;-1;2.0
1000;2.986;1.108;1.014;0.094;0.0;12;0.0;0.0;1.0;11.0;18.0;-1;2.0
1000;3.578;1.116;1.022;0.094;0.0;12;0.0;0.0;1.0;16.0;25.0;-1;2.0
1000;3.704;1.101;1.007;0.094;0.0;12;0.0;0.0;1.0;6.0;9.0;-1;2.0
1000;4.078;1.085;0.992;0.093;0.0;12;0.0;0.0;1.0;8.0;10.0;-1;2.0
1000;4.156;1.137;1.043;0.094;0.0;12;0.0;0.0;1.0;20.0;29.0;-1;2.0
1000;4.719;1.105;1.012;0.093;0.0;12;0.0;0.0;1.0;18.0;27.0;-1;2.0
1000;3.783;1.8479999999999999;1.504;0.344;0.0;12;0.0;0.0;1.0;12.0;18.0;-1;4.0
1000;3.564;1.855;1.512;0.343;0.0;12;0.0;0.0;1.0;12.0;20.0;-1;4.0
1000;3.605;1.791;1.431;0.36;0.0;12;0.0;0.0;1.0;18.0;26.0;-1;4.0
1000;3.459;1.834;1.475;0.359;0.0;12;0.0;0.0;1.0;15.0;24.0;-1;4.0
1000;3.527;1.838;1.479;0.359;0.0;12;0.0;0.0;1.0;17.0;25.0;-1;4.0
1000;3.534;1.8820000000000001;1.522;0.36;0.0;12;0.0;0.0;1.0;15.0;20.0;-1;4.0
1000;3.425;2.033;1.673;0.36;0.0;12;0.0;0.0;1.0;9.0;12.0;-1;4.0
1000;3.37;1.979;1.62;0.359;0.0;12;0.0;0.0;1.0;13.0;18.0;-1;4.0
1000;3.643;1.9020000000000001;1.542;0.36;0.0;12;0.0;0.0;1.0;13.0;18.0;-1;4.0
1000;3.535;1.868;1.493;0.359;0.016;12;0.0;0.0;1.0;15.0;22.0;-1;4.0
1000;3.263;2.9530000000000003;2.141;0.812;0.0;12;0.0;0.0;1.0;18.0;27.0;-1;6.0
1000;3.402;3.097;2.3;0.797;0.0;12;0.0;0.0;1.0;9.0;12.0;-1;6.0
1000;3.799;3.02;2.176;0.844;0.0;12;0.0;0.0;1.0;12.0;16.0;-1;6.0
1000;3.62;3.101;2.281;0.82;0.0;12;0.0;0.0;1.0;16.0;23.0;-1;6.0
1000;3.374;3.0440000000000005;2.232;0.812;0.0;12;0.0;0.0;1.0;16.0;24.0;-1;6.0
1000;3.438;3.4290000000000003;2.632;0.797;0.0;12;0.0;0.0;1.0;15.0;22.0;-1;6.0
1000;3.536;3.931;3.118;0.813;0.0;12;0.0;0.0;1.0;15.0;21.0;-1;6.0
1000;3.485;3.211;2.383;0.813;0.015;12;0.0;0.0;1.0;22.0;31.0;-1;6.0
1000;4.095;3.1830000000000003;2.386;0.797;0.0;12;0.0;0.0;1.0;21.0;31.0;-1;6.0
1000;3.991;3.377;2.564;0.813;0.0;12;0.0;0.0;1.0;11.0;15.0;-1;6.0
1000;3.558;5.372;3.966;1.406;0.0;12;0.0;0.0;1.0;22.0;26.0;-1;8.0
1000;3.538;5.328;3.906;1.407;0.015;12;0.0;0.0;1.0;23.0;31.0;-1;8.0
1000;3.612;5.2909999999999995;3.838;1.438;0.015;12;0.0;0.0;1.0;18.0;27.0;-1;8.0
1000;3.523;5.029;3.592;1.437;0.0;12;0.0;0.0;1.0;16.0;21.0;-1;8.0
1000;3.37;5.539;4.114;1.425;0.0;12;0.0;0.0;1.0;23.0;29.0;-1;8.0
1000;3.809;5.012;3.606;1.406;0.0;12;0.0;0.0;1.0;12.0;17.0;-1;8.0
1000;4.048;4.548;3.082;1.466;0.0;12;0.0;0.0;1.0;33.0;38.0;-1;8.0
1000;3.516;4.7;3.278;1.406;0.016;12;0.0;0.0;1.0;27.0;37.0;-1;8.0
1000;3.855;5.239;3.817;1.422;0.0;12;0.0;0.0;1.0;14.0;18.0;-1;8.0
1000;3.569;6.029;4.604;1.425;0.0;12;0.0;0.0;1.0;7.0;12.0;-1;8.0
